Platform,FPS,Latency,Battery,LoadTime,Accuracy,UX_Score
Android,57.97371322408986,37.77952065324724,3.816660609723768,3.916493059217648,8.11347352124059,82.49347392320865
Android,52.893885590630525,67.22733821410725,4.051472818668946,4.962373988639467,6.924693618278563,85.251056615142
Android,59.18150830480554,44.83803330314479,3.3149320207951773,2.957536287347177,8.87733935338098,79.34501064880045
Android,66.1842388512642,32.3074688525292,3.2430347007354636,3.406805424082678,7.257941627715155,62.45502738038579
Android,52.12677300221331,54.870538945238266,4.850020657915358,3.3294702162414107,6.659984046034179,64.48820575336072
Android,52.126904344406555,30.349876200347733,5.284992022856659,2.0437820622414575,7.817222200201216,60.6957194687947
Android,66.63370252405913,47.50636314005706,4.142391902735733,4.155344332477491,7.555200811599462,79.69977359930793
Android,60.13947783322327,21.483958513442694,5.00282631831362,4.113266326615867,7.529650578356007,84.68389522403902
Android,50.24420491252038,29.061767413218835,4.489308820038108,3.806136147970953,8.241852290900452,76.2448624405645
Android,58.34048034868772,47.36233483042948,3.683904196315901,3.518495439949823,8.093102767805899,81.4053558496201
Android,50.2926584575003,53.86159895994493,4.489116484406732,2.1015551095395026,6.897215757953327,63.323589100206256
Android,50.27416197143795,47.05641937427965,5.430429253172775,3.295225612681569,6.90041805716333,73.4586185242831
Android,55.93569817252828,43.612220611341115,4.171339168712039,3.3887425801678766,8.633101457273268,58.30128943283703
Android,38.69375804273761,41.386755652928535,5.451714924651205,2.8372672769340572,7.3390297910487,64.28219250506741
Android,40.20065733989574,27.257736115590873,2.1042039167282045,3.606457146000789,6.349209574612661,80.78673548190896
Android,49.50169976607222,36.3618694992635,4.857522003500179,4.2848610281774455,8.725955678870239,69.6040549180619
Android,45.89735103732461,39.47233474848255,4.269637654590538,6.063423081452636,8.897110259952576,84.09381970686634
Android,56.51397866076219,57.68546671462699,3.9607941196273058,4.009493375398207,8.887086424265117,77.37960003691995
Android,46.735807395830314,49.12341947482154,4.273408621228402,4.109060468867317,7.779875545857624,99.34422159061741
Android,42.701570389317666,23.843518135647194,2.609944868319286,3.7106649010805994,8.642031646154289,72.93765430151947
Android,65.72519015137243,48.88900763273754,4.024262489729991,1.4974745416411501,8.08413996499505,57.93594732818451
Android,52.19378959610771,40.3790126350042,4.485690057209397,3.7681833494609394,8.161628714094613,71.65470343905191
Android,54.54022563750339,36.8769359963285,5.382315235793213,3.8722762519292315,8.89855418852708,62.369843739338734
Android,42.60201451029235,52.34011546609042,3.785383825381082,6.755890534982343,6.60642905965959,81.77180000813073
Android,49.64493820379854,57.371994269951415,3.55320511768545,3.569166842262653,6.0091970516166295,72.41980064470023
Android,54.88738071767893,56.175361429394385,3.798594365132371,4.161856810800335,8.101471542866031,70.62728182902184
Android,44.79205138062158,34.929389721328334,4.93232169416166,3.7583458763537076,7.663501769108056,70.7586761111834
